seed,cv_mae_group_pick,cv_mae_shuffled_pick,dep_mae_group_pick,dep_mae_shuffled_pick,dep_minus_cv_group_pick,dep_minus_cv_shuffled_pick,wape_group_pick,wape_shuffled_pick,macro_mae_group_pick,macro_mae_shuffled_pick,hh_favoring_group_pick,n_dep_households,dep_mean_kwh
0,1.7094408894344528,1.6520449049894794,2.4640645677644404,2.637587728015569,0.7546236783299876,0.9855428230260896,19.776427507533846,21.169113496561344,2.4618783789985987,2.6381100728475952,12,12,12.459604075739932
1,1.849980765999336,1.7884239612276374,1.9383833440542775,2.046810770685818,0.08840257805494156,0.2583868094581807,21.76159062985246,22.978869595151842,2.159676114467897,2.303161554841195,11,12,8.907360574071324
2,1.7678850188182416,1.7140048971609896,2.195877156400968,2.3779603505208353,0.4279921375827265,0.6639554533598457,20.522247944890996,22.223962653946103,2.194817987143709,2.375587123720004,11,12,10.699983560756223
3,1.9056348641442766,1.8522718990022629,1.7226278713622165,1.9493493562191597,-0.18300699278206012,0.09707745721689687,20.333790953578024,23.009997088638592,1.7591932989197583,1.9952880898813297,10,12,8.471749686494613
4,1.8395965578895492,1.7870147708234565,1.9877375623588156,3.5432310207175988,0.14814100446926637,1.7562162498941423,19.931087259194058,35.52805359757934,1.8640193704920598,3.4495356494941736,12,12,9.973051326850658
5,1.704209262943363,1.6535134733855883,2.499586042860363,2.6839260219269994,0.7953767799170002,1.030412548541411,20.04642891491299,21.524817025252716,2.4778452504245876,2.6706375339536343,10,12,12.468984144107903
6,1.9319976056869055,1.878593316848135,1.636269822824955,2.118762035464409,-0.29572778286195045,0.24016871861627398,16.53570096101839,21.411636966763343,1.640256560008072,2.1210823932798903,11,12,9.89537623280883
7,1.8935739911581877,1.8506480416070938,1.7731585113455037,3.127841016459597,-0.12041547981268397,1.277192974852503,22.189614202111404,39.14234683289102,1.7558898980891648,3.0726413633294745,11,12,7.990938892379583
8,1.905723995500015,1.8717426538096447,1.6545651480788057,3.4396505139766576,-0.2511588474212092,1.567907860167013,16.479287705594945,34.25854248914657,1.8220919310927572,3.5394064249420194,12,12,10.040271021647728
9,1.7995000345021421,1.7638601580651012,2.1087872380439503,2.6313268700180896,0.30928720354180816,0.8674667119529884,16.112744388961644,20.105346094438165,2.0808647760905594,2.5954712952983052,12,12,13.08769745946331
10,1.7501116622872428,1.7194239507731712,2.2413727208345327,2.385623018770678,0.49126105854728985,0.6661990679975069,19.322656329278683,20.56622412436561,2.241372720834532,2.3856230187706777,9,12,11.59971322078678
11,2.0494747666044932,2.0026654655957175,1.2177393143971653,1.48067563567426,-0.8317354522073279,-0.5219898299214574,17.839457090192816,21.691382675101735,1.2254956048680068,1.4870510712559544,12,12,6.826100750939408
12,1.8693617658988415,1.7859802082656686,1.8461357055372458,2.1493235690262007,-0.02322606036159569,0.3633433607605321,19.286839174312544,22.454285394639665,1.8717125938613874,2.1608670753317916,12,12,9.57199719898141
13,1.824560917830825,1.7855944021929386,2.0156236058395565,2.1565318956806228,0.19106268800873139,0.3709374934876841,21.50108077012085,23.00417912254882,2.2231463645621017,2.388316502402074,9,12,9.374522273506289
14,1.7774215960225583,1.7357614857351653,2.160769599777999,2.354914917114549,0.38334800375544065,0.6191534313793838,21.355595648447874,23.274397585732135,2.1600994512656992,2.3533203527380393,9,12,10.118048849342415
15,1.8329853578705335,1.7803030429157978,1.984476114609361,2.159574891129912,0.1514907567388275,0.3792718482141144,19.656821035403386,21.39122604448564,1.9843484654213752,2.145162026819119,10,12,10.095610633251292
16,1.918454148172994,1.8797291484577738,1.6716877620022979,2.8386391255277514,-0.24676638617069613,0.9589099770699776,21.479493798786965,36.47363633310105,1.6753551547199075,2.832912433316666,9,12,7.782714889196807
17,1.7983463032673357,1.7609950782409727,2.118954733660454,2.590189196286481,0.3206084303931185,0.8291941180455082,20.168458535763687,24.65372316606459,2.3003698071221117,2.7762672195155798,10,12,10.506280040703265
18,1.9535138722616447,1.904336206735928,1.5405185355631337,1.73903916177403,-0.4129953366985111,-0.165297044961898,16.283977733446374,18.382430548015304,1.540518535563134,1.7390391617740306,10,12,9.46033310030261
19,1.8392692549499963,1.7902706264552717,1.9284421871127324,2.158928257192365,0.08917293216273614,0.36865763073709346,16.156536363744266,18.087554362346268,1.9284421871127322,2.158928257192365,12,12,11.935987662802606
