seed,naive_pick,honest_pick,best_deploy_pick,naive_cv_mae,honest_cv_mae,naive_dep_mae,naive_dep_r2,honest_dep_mae,honest_dep_r2,best_dep_mae,regret_naive,regret_honest,delta_mae,delta_pct,naive_cv[kNN(k=1)],naive_cv[kNN(k=5)],naive_cv[kNN(k=50)],naive_cv[Ridge a=.01],naive_cv[Ridge a=1],naive_cv[Ridge a=100],naive_cv[RF d=None],naive_cv[RF d=4],honest_cv[kNN(k=1)],honest_cv[kNN(k=5)],honest_cv[kNN(k=50)],honest_cv[Ridge a=.01],honest_cv[Ridge a=1],honest_cv[Ridge a=100],honest_cv[RF d=None],honest_cv[RF d=4],dep_mae[kNN(k=1)],dep_mae[kNN(k=5)],dep_mae[kNN(k=50)],dep_mae[Ridge a=.01],dep_mae[Ridge a=1],dep_mae[Ridge a=100],dep_mae[RF d=None],dep_mae[RF d=4]
0,RF d=None,Ridge a=.01,Ridge a=.01,1.6115188347792142,1.839639651272687,3.104830802490774,0.7061196778632274,2.5010674229494554,0.7803112737520641,2.5010674229494554,0.6037633795413186,0.0,0.6037633795413186,19.44593499449195,2.1660019893101303,1.727431733839652,1.7722021978001243,1.6767530385321003,1.6767740885709492,1.6791217478179636,1.6115188347792142,1.7074115445417681,3.0002705375858247,2.4049921003589527,2.5801992288856868,1.839639651272687,1.8397867861441939,1.8546230569485374,2.4473358478090734,2.1116834004073874,4.164516742042697,3.0715585163706938,3.0458712268064048,2.5010674229494554,2.5010719356100264,2.502091627591783,3.104830802490774,3.0575945961158313
1,RF d=None,Ridge a=.01,Ridge a=.01,1.7510537629996787,2.0638666757742428,2.412029251702638,0.7445050601305954,2.034385469084328,0.8082438164199689,2.034385469084328,0.37764378261830966,0.0,0.37764378261830966,15.656683365333693,2.3469022362120286,1.8712593570096279,1.9042884539122693,1.8199034852375795,1.819931844848973,1.823031493918505,1.7510537629996787,1.8605918706525064,3.208736132115277,2.4655070846777694,2.591789850952295,2.0638666757742428,2.0640226590659,2.0798182281587114,2.298754422690857,2.221183801249782,3.160101783828628,2.4940503223526496,2.5203594008836054,2.034385469084328,2.0344964638676006,2.0458721985900783,2.412029251702638,2.3880587550111456
2,RF d=None,Ridge a=.01,Ridge a=.01,1.6697793442690085,1.9790709996735392,2.777273711177263,0.7061692033960538,2.267624874300058,0.7820873606526384,2.267624874300058,0.5096488368772047,0.0,0.5096488368772047,18.350688116410712,2.2123107278977825,1.7804433189613103,1.78710673015182,1.7354349037247416,1.7354505699681582,1.7372705894041265,1.6697793442690085,1.7948893927437297,3.307556061442482,2.523226021570344,2.6840640863462095,1.9790709996735392,1.9792654494858923,1.9985736264645841,2.4560200425410406,2.114330391477128,3.6724055916392673,2.886616063903241,2.879463240779239,2.267624874300058,2.2677492775943384,2.280194125917241,2.777273711177263,2.6510229299257895
3,RF d=None,Ridge a=.01,Ridge a=.01,1.8086390595508515,2.046491557455501,2.0502716733919866,0.668808430110959,1.8516326765164677,0.7151283764616787,1.8516326765164677,0.1986389968755189,0.0,0.1986389968755189,9.688423219879388,2.384811814653919,1.9195667281155788,1.9609216591548815,1.8755354427981257,1.8755616341452945,1.8783971530722634,1.8086390595508515,1.907793725509634,3.583594866459792,2.5716955857044677,2.6611058511596775,2.046491557455501,2.04667001563759,2.064656257502306,2.56540311902409,2.3289495353076006,2.712653719819594,2.086457227827612,2.1552391678672014,1.8516326765164677,1.851719271095561,1.8605115437139133,2.0502716733919866,1.967830494680986
4,RF d=None,RF d=4,RF d=4,1.7412467605867086,2.0874259718412818,2.6940177553133866,0.8232882299863242,2.4751062214541046,0.8442982929445786,2.4751062214541046,0.21891153385928197,0.0,0.21891153385928197,8.12583857057084,2.321938230547903,1.863113523090297,1.8485930972415061,1.812791554620756,1.8128075538223976,1.8144938395583192,1.7412467605867086,1.828342446634712,3.051514900768825,2.4116793822447162,2.415394028797544,2.098447118154388,2.098612272333004,2.1150198909832367,2.2872472821894423,2.0874259718412818,3.2005971111684293,2.7072301269228785,3.161186710777921,2.532462646502141,2.5327260254503967,2.5585361707743663,2.6940177553133866,2.4751062214541046
5,RF d=None,Ridge a=.01,Ridge a=.01,1.6147792307694135,1.8713531105812997,2.8505106454947944,0.7831209386782749,2.5506024835080474,0.8143556575342665,2.5506024835080474,0.29990816198674697,0.0,0.29990816198674697,10.521208277567705,2.1364646611494122,1.7147648784086964,1.7469238574336825,1.6623655818472778,1.662387759077101,1.6648019939870717,1.6147792307694135,1.6927467444236222,2.829095705645088,2.32101501428493,2.40257745383662,1.8713531105812997,1.8714723151981456,1.8835197847639642,2.248988523169401,1.9987579619732991,3.8301549957643157,3.0838468062612403,3.240481135057738,2.5506024835080474,2.5506605918289913,2.5567327637136805,2.8505106454947944,2.657318564245633
6,RF d=None,Ridge a=.01,Ridge a=.01,1.8223454382849567,2.275148409252853,2.3781371205007233,0.7436164807497089,1.9121587657783248,0.8772973963331597,1.9121587657783248,0.46597835472239857,0.0,0.46597835472239857,19.594259334562068,2.3805380665088727,1.9213099285548794,1.9094457834539214,1.8858324145064,1.8858440677399,1.8871673764439858,1.8223454382849567,1.9131833461379173,3.6817773951381803,2.711004377232058,2.7621968785172952,2.275148409252853,2.2753699952715833,2.2972306156306823,2.5230075115341637,2.413469389725912,3.2326669815641145,2.403635557219352,2.3364263685326443,1.9121587657783248,1.9123208729654713,1.9283670052118174,2.3781371205007233,2.3035696248787323
7,RF d=None,Ridge a=.01,Ridge a=.01,1.8016005425251798,2.088531361276922,2.2032409575346756,0.6427253213976584,1.8901126800026962,0.702963648485964,1.8901126800026962,0.31312827753197947,0.0,0.31312827753197947,14.21216669294109,2.3659674208649992,1.909004654883843,1.95641532974611,1.873759324725599,1.8737836163738912,1.8764510004555226,1.8016005425251798,1.8974867752996645,3.5637149034485653,2.6469204746174397,2.7478621445098135,2.088531361276922,2.0887154533786196,2.107327871195997,2.5261063021597154,2.266545094071606,2.861741911406662,2.2792243463455546,2.414892484941768,1.8901126800026962,1.8902222942046236,1.9013075360044143,2.2032409575346756,1.9704704357854521
8,RF d=None,Ridge a=.01,Ridge a=.01,1.8232322186610719,2.063692852534147,2.1208460047525572,0.8173019443051281,1.794213223670459,0.8707745615958244,1.794213223670459,0.32663278108209814,0.0,0.32663278108209814,15.40106072530273,2.4319388172771577,1.9533455023888286,1.9669605934509984,1.8949824957360644,1.895006584958783,1.89756798862186,1.8232322186610719,1.9001308130820704,3.216194254618011,2.50391035726507,2.6056892619467633,2.063692852534147,2.063828075355116,2.0775492636658615,2.331543750552396,2.1637581385624327,2.8891281241193183,2.200156987630682,2.4381998056039773,1.794213223670459,1.79432950502346,1.806188086629652,2.1208460047525572,1.929753927298999
9,RF d=None,Ridge a=.01,Ridge a=.01,1.7194469938153414,1.9601141723292421,2.6448912541772573,0.7536315919344223,2.211917578685113,0.8302084774204805,2.211917578685113,0.4329736754921445,0.0,0.4329736754921445,16.370188181019525,2.2743148072267063,1.8255775235691207,1.8164791873470285,1.7687064262995424,1.7687233663989343,1.7705383886072315,1.7194469938153414,1.8188547839447256,2.992482797369683,2.401988662913469,2.5163201538302853,1.9601141723292421,1.9602523063566053,1.9741575824525959,2.289736978576122,2.043746852708638,3.6847314220850156,2.808454524113037,2.941591295118499,2.211917578685113,2.2120636483190004,2.2266793045529907,2.6448912541772573,2.3514605864295692
